https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume LTC,Volume USDT
1621900800,2021-05-25 00:00:00,LTC/USDT,185.16631724,194.32903205,167.02911208,183.86752421,12666175.31658626,71174.54048147
1621814400,2021-05-24 00:00:00,LTC/USDT,142.4080897,185.16631724,139.74683259,185.16631724,12836715.38108917,79855.09491549
1621728000,2021-05-23 00:00:00,LTC/USDT,169.11699198,176.19442651,118.20592766,142.39473872,19242739.84759405,134918.24885454
1621643153,2021-05-22 00:25:53,LTC/USDT,169.4407837,169.4407837,169.4407837,169.4407837,0.0,0.0
1621641600,2021-05-22 00:00:00,LTC/USDT,179.45156974,184.36474552,161.77906138,169.4407837,12184462.21126081,70266.98540642
1621556924,2021-05-21 00:28:44,LTC/USDT,179.9565226,179.9565226,179.9565226,179.9565226,0.0,0.0
1621555200,2021-05-21 00:00:00,LTC/USDT,210.45665567,218.79802387,156.80496691,179.9565226,15712756.72288453,84388.03755577
1621468800,2021-05-20 00:00:00,LTC/USDT,186.24792076,224.57142857,166.82104654,210.20701219,15305043.86004287,76117.3282826
1621385596,2021-05-19 00:53:16,LTC/USDT,186.1836043,186.1836043,186.1836043,186.1836043,0.0,0.0
1621382400,2021-05-19 00:00:00,LTC/USDT,295.00228636,300.22902694,150.0,186.1836043,21955345.14002655,95462.37701034
1621297415,2021-05-18 00:23:35,LTC/USDT,294.79344576,294.79344576,294.79344576,294.79344576,0.0,0.0
1621296000,2021-05-18 00:00:00,LTC/USDT,281.53125,317.79340001,278.631675,294.79344576,9603798.60634216,32081.67183737
1621211380,2021-05-17 00:29:40,LTC/USDT,281.29097465,281.29097465,281.29097465,281.29097465,0.0,0.0
1621209600,2021-05-17 00:00:00,LTC/USDT,296.12779588,296.28625,261.7,281.29097465,10109390.31853919,36214.87394592
1621124723,2021-05-16 00:25:23,LTC/USDT,296.27564958,296.27564958,296.27564958,296.27564958,0.0,0.0
1621123200,2021-05-16 00:00:00,LTC/USDT,300.4392,323.71507638,280.0,296.27564958,7644407.36252481,25697.23534941
1621038740,2021-05-15 00:32:20,LTC/USDT,299.91209108,299.91209108,299.91209108,299.91209108,0.0,0.0
