https://www.CryptoDataDownload.com
unix,date,symbol,open,high,low,close,Volume EOS,Volume USDT
1620087793,2021-05-04 00:23:13,EOS/USDT,6.37238643,6.37238643,6.37238643,6.37238643,0.0,0.0
1620086400,2021-05-04 00:00:00,EOS/USDT,6.81428102,7.06769705,6.218,6.37238643,847790.11233394,128113.12133043
1620001434,2021-05-03 00:23:54,EOS/USDT,6.79996566,6.79996566,6.79996566,6.79996566,0.0,0.0
1620000000,2021-05-03 00:00:00,EOS/USDT,6.53961288,6.88890019,6.53961288,6.79996566,292824.66237844,43436.39370046
1619915076,2021-05-02 00:24:36,EOS/USDT,6.5294059,6.5294059,6.5294059,6.5294059,0.0,0.0
1619913600,2021-05-02 00:00:00,EOS/USDT,6.62177138,6.68902064,6.19776575,6.5294059,142606.38151401,22018.34364087
1619828690,2021-05-01 00:24:50,EOS/USDT,6.62,6.62,6.62,6.62,0.0,0.0
1619827200,2021-05-01 00:00:00,EOS/USDT,6.44595816,6.65176858,6.29411764,6.62,135783.25431752,21044.25765692
1619742222,2021-04-30 00:23:42,EOS/USDT,6.42550464,6.42550464,6.42550464,6.42550464,0.0,0.0
1619740800,2021-04-30 00:00:00,EOS/USDT,5.85104303,6.44595816,5.78761689,6.42550464,732895.01190319,118261.36088953
1619656003,2021-04-29 00:26:43,EOS/USDT,5.89388658,5.89388658,5.89388658,5.89388658,0.0,0.0
1619654400,2021-04-29 00:00:00,EOS/USDT,5.88933529,6.03297136,5.60270816,5.89388658,311524.12950601,53333.21442824
1619570067,2021-04-28 00:34:27,EOS/USDT,5.95768366,5.95768366,5.95768366,5.95768366,0.0,0.0
1619568000,2021-04-28 00:00:00,EOS/USDT,6.06728659,6.218,5.67647059,5.95768366,199948.95446286,33986.58344535
1619483062,2021-04-27 00:24:22,EOS/USDT,6.03893647,6.03893647,6.03893647,6.03893647,0.0,0.0
1619481600,2021-04-27 00:00:00,EOS/USDT,5.85406339,6.09126694,5.75360991,6.03893647,240822.79991939,40605.24152197
1619396691,2021-04-26 00:24:51,EOS/USDT,5.85406339,5.85406339,5.85406339,5.85406339,0.0,0.0
1619395200,2021-04-26 00:00:00,EOS/USDT,5.00759702,5.89171784,4.93310223,5.85406339,468026.94563629,83420.82668838
1619310236,2021-04-25 00:23:56,EOS/USDT,4.99348873,4.99348873,4.99348873,4.99348873,0.0,0.0
